rainfall,year,month,country
48.5046,1993,4,BEN
98.1844,1993,5,BEN
131,1993,6,BEN
183.201,1993,7,BEN
195.268,1993,8,BEN
177.238,1993,9,BEN
55.5981,1993,10,BEN
10.55,1993,11,BEN
8.71556,1993,12,BEN
1.65015,1994,1,BEN
6.13348,1994,2,BEN
30.2647,1994,3,BEN
69.0051,1994,4,BEN
108.489,1994,5,BEN
147.638,1994,6,BEN
168.337,1994,7,BEN
218.048,1994,8,BEN
201.106,1994,9,BEN
156.672,1994,10,BEN
8.44198,1994,11,BEN
0.67311,1994,12,BEN
0.02875,1995,1,BEN
6.55134,1995,2,BEN
36.2176,1995,3,BEN
86.1723,1995,4,BEN
115.964,1995,5,BEN
128.602,1995,6,BEN
170.875,1995,7,BEN
295.826,1995,8,BEN
180.23,1995,9,BEN
100.469,1995,10,BEN
10.1961,1995,11,BEN
5.21646,1995,12,BEN
1.26526,1996,1,BEN
17.0896,1996,2,BEN
24.4506,1996,3,BEN
66.7955,1996,4,BEN
118.119,1996,5,BEN
171.892,1996,6,BEN
160.015,1996,7,BEN
256.746,1996,8,BEN
165.463,1996,9,BEN
71.3395,1996,10,BEN
1.27569,1996,11,BEN
0.74558,1996,12,BEN
3.42885,1997,1,BEN
0.3278,1997,2,BEN
59.2149,1997,3,BEN
80.6369,1997,4,BEN
135.775,1997,5,BEN
172.273,1997,6,BEN
141.903,1997,7,BEN
124.418,1997,8,BEN
180.274,1997,9,BEN
115.095,1997,10,BEN
9.09799,1997,11,BEN
10.2403,1997,12,BEN
8.82003,1998,1,BEN
6.94842,1998,2,BEN
14.8011,1998,3,BEN
63.4595,1998,4,BEN
160.601,1998,5,BEN
169.985,1998,6,BEN
162.397,1998,7,BEN
234.505,1998,8,BEN
196.42,1998,9,BEN
92.8016,1998,10,BEN
8.1966,1998,11,BEN
2.19837,1998,12,BEN
3.54845,1999,1,BEN
18.0157,1999,2,BEN
33.4333,1999,3,BEN
72.066,1999,4,BEN
92.3881,1999,5,BEN
107.301,1999,6,BEN
232.457,1999,7,BEN
239.768,1999,8,BEN
225.507,1999,9,BEN
141.809,1999,10,BEN
8.21596,1999,11,BEN
1.45062,1999,12,BEN
1.27485,2000,1,BEN
0.56733,2000,2,BEN
27.6665,2000,3,BEN
61.3534,2000,4,BEN
83.9919,2000,5,BEN
141.24,2000,6,BEN
188.33,2000,7,BEN
185.354,2000,8,BEN
171.384,2000,9,BEN
102.943,2000,10,BEN
2.6099,2000,11,BEN
0.53344,2000,12,BEN
3.37463,2001,1,BEN
1.07789,2001,2,BEN
9.46873,2001,3,BEN
49.8902,2001,4,BEN
85.6575,2001,5,BEN
137.371,2001,6,BEN
132.877,2001,7,BEN
179.087,2001,8,BEN
201.79,2001,9,BEN
35.4691,2001,10,BEN
2.076,2001,11,BEN
0.50901,2001,12,BEN
7.02108,2002,1,BEN
0.43006,2002,2,BEN
32.2387,2002,3,BEN
